kernel,tag,avl,blas_lmul,gemm_rows,ideal_rvv_cycles,ideal_lane_util,real_total_cycles,real_rvv_cycles,real_vector_insns,real_insns,real_ipc,hw_cycles,dcache_stalls,icache_stalls,sb_full,axi_ar,axi_r,axi_aw,axi_w,axi_b
vsaxpy_asm,avl32,32,,,51,0.529,109,48,5,22,0.202,51,0,2,0,2,16,1,8,1
vsaxpy_asm,avl64,64,,,91,0.549,140,91,10,32,0.229,94,0,4,3,4,32,2,16,2
vsaxpy_asm,avl128,128,,,171,0.561,223,171,20,52,0.233,174,0,4,1,8,64,4,32,4
vsaxpy_asm,avl256,256,,,331,0.568,383,331,40,92,0.240,334,0,4,1,16,128,8,64,8
vsaxpy_asm,avl512,512,,,651,0.571,703,651,80,172,0.245,654,0,4,1,32,256,16,128,16
vsaxpy_asm,avl1024,1024,,,1290,0.573,1343,1287,160,332,0.247,1290,0,4,1,66,512,33,256,33
vsaxpy_asm,avl2048,2048,,,2569,0.574,2627,2565,320,652,0.248,2568,0,4,1,132,1024,66,512,66
vsaxpy_asm,avl4096,4096,,,5127,0.574,5183,5121,640,1292,0.249,5124,0,4,1,264,2048,132,1024,132
vscopy_asm,avl32,32,,,37,0.000,94,36,3,18,0.191,39,0,2,0,1,8,1,8,1
vscopy_asm,avl64,64,,,72,0.000,119,70,6,26,0.218,74,0,2,6,2,16,2,16,2
vscopy_asm,avl128,128,,,142,0.000,189,138,12,42,0.222,144,0,3,16,4,32,4,32,4
vscopy_asm,avl256,256,,,282,0.000,329,274,24,74,0.225,284,0,3,64,8,64,8,64,8
