group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vscopy_hdv,,64,,,,PASSED,52,.812,,120,6,0,0,4,2,4,4,2,2,0,6,8,5,6,23,0,0,0,10,3,1,32,7,4,2,4,2,1,1,2,443,2,128,128,0,0,1,0,0,0,0,0,0,0,6,22,2,18,0,0,2,0,1.000
avl,vsdot_hdv,,1024,,,,PASSED,1768,1.726,,1836,135,0,0,98,33,158,158,8,5,0,163,226,8,163,1577,0,0,0,163,2,1,1630,161,66,5,10,65,63,63,64,2129,0,256,7840,0,0,62,0,1,2,0,0,0,0,99,1515,35,1369,144,113,113,0,1.000
avl,vsdot_hdv,,128,,,,PASSED,256,2.000,,324,23,0,0,14,5,18,18,7,5,0,23,30,8,23,205,0,0,0,23,2,1,118,21,10,5,5,8,6,6,8,645,0,256,768,0,0,6,0,0,2,0,0,0,0,15,199,7,81,32,29,15,0,1.000
avl,vsdot_hdv,,2048,,,,PASSED,3496,1.707,,3564,263,0,0,194,65,318,318,8,5,0,323,450,8,323,3145,0,0,0,323,2,1,3358,321,130,5,10,130,128,128,128,3825,0,256,15920,0,0,126,0,2,2,0,0,0,0,195,3019,67,2841,272,209,225,0,1.000
avl,vsdot_hdv,,256,,,,PASSED,472,1.843,,540,39,0,0,26,9,38,38,8,5,0,43,58,8,43,401,0,0,0,43,2,1,334,41,18,5,8,16,14,14,16,857,0,256,1792,0,0,14,0,0,2,0,0,0,0,27,387,11,265,48,41,29,0,1.000
avl,vsdot_hdv,,32,,,,PASSED,94,2.937,,162,11,0,0,5,2,4,4,2,4,0,8,10,7,8,56,0,0,0,7,0,0,40,7,2,3,5,2,0,0,2,486,0,256,0,0,0,0,0,0,0,0,0,0,2,6,56,3,0,0,0,4,0,
avl,vsdot_hdv,,4096,,,,PASSED,6952,1.697,,7020,519,0,0,386,129,638,638,8,5,0,643,898,8,643,6281,0,0,0,643,2,1,6814,641,258,5,10,260,258,258,256,7217,0,256,32080,0,0,254,0,4,2,0,0,0,0,387,6027,131,5785,528,401,449,0,1.000
avl,vsdot_hdv,,512,,,,PASSED,904,1.765,,972,71,0,0,50,17,78,78,8,5,0,83,114,8,83,793,0,0,0,83,2,1,766,81,34,5,9,32,30,30,32,1281,0,256,3840,0,0,30,0,0,2,0,0,0,0,51,763,19,633,80,65,57,0,1.000
avl,vsdot_hdv,,64,,,,PASSED,148,2.312,,216,15,0,0,8,3,8,8,3,5,0,13,17,9,13,106,0,0,0,13,2,1,58,11,6,5,5,4,2,2,4,539,0,256,256,0,0,2,0,0,2,0,0,0,12,9,105,5,5,12,11,8,0,1.000
avl,vsdwt_hdv,,1024,,,,PASSED,1723,1.682,,1791,548,0,0,192,32,96,96,1,128,0,224,256,224,224,96,0,0,0,422,197,2,1715,225,132,104,7,63,31,0,32,2084,65,4096,3968,0,0,31,0,0,0,0,0,0,1,255,96,96,1,32,0,96,0,0
avl,vsdwt_hdv,,128,,,,PASSED,239,1.867,,307,72,0,0,24,4,12,12,1,16,0,28,32,28,28,12,0,0,0,58,29,2,231,29,20,20,7,7,3,0,4,628,8,512,384,0,0,3,0,0,0,0,0,0,1,31,12,12,1,4,0,12,0,0
avl,vsdwt_hdv,,2048,,,,PASSED,3419,1.669,,3487,1092,0,0,384,64,192,192,1,256,0,448,512,448,448,192,0,0,0,838,389,2,3411,449,260,200,7,127,63,0,64,3748,130,8192,8064,0,0,63,0,0,0,0,0,0,1,511,192,192,1,64,0,192,0,0
avl,vsdwt_hdv,,256,,,,PASSED,451,1.761,,519,140,0,0,48,8,24,24,1,32,0,56,64,56,56,24,0,0,0,110,53,2,443,57,36,32,7,15,7,0,8,836,16,1024,896,0,0,7,0,0,0,0,0,0,1,63,24,24,1,8,0,24,0,0
avl,vsdwt_hdv,,32,,,,PASSED,78,2.437,,146,21,0,2,6,1,3,3,1,4,0,7,8,7,7,3,0,0,0,17,7,0,70,10,5,6,7,1,0,0,1,470,2,128,0,0,0,0,0,0,0,0,0,0,1,8,3,3,1,1,0,3,0,
avl,vsdwt_hdv,,4096,,,,PASSED,6811,1.662,,6879,2180,0,0,768,128,384,384,1,512,0,896,1024,896,896,384,0,0,0,1670,773,2,6803,897,516,392,7,255,127,0,128,7076,260,16384,16256,0,0,127,0,0,0,0,0,0,1,1023,384,384,1,128,0,384,0,0
avl,vsdwt_hdv,,512,,,,PASSED,875,1.708,,943,276,0,0,96,16,48,48,1,64,0,112,128,112,112,48,0,0,0,214,101,2,867,113,68,56,7,31,15,0,16,1252,32,2048,1920,0,0,15,0,0,0,0,0,0,1,127,48,48,1,16,0,48,0,0
avl,vsdwt_hdv,,64,,,,PASSED,132,2.062,,200,38,0,3,12,2,6,6,1,8,0,14,16,14,14,6,0,0,0,31,15,1,124,16,11,13,7,3,1,0,2,523,4,256,128,0,0,1,0,0,0,0,0,0,1,15,6,6,1,2,0,6,0,0
avl,vsscal_hdv,,1024,,,,PASSED,1018,.994,,1086,96,0,0,96,32,125,125,7,3,0,128,190,6,128,868,0,0,0,862,735,1,990,127,34,2,7,33,32,32,32,1379,33,128,3920,0,0,31,0,1,0,0,0,0,0,128,807,64,744,32,0,48,0,1.000
avl,vsscal_hdv,,128,,,,PASSED,122,.953,,190,12,0,0,12,4,13,13,6,3,0,16,22,6,16,84,0,0,0,50,35,1,94,15,6,2,6,4,3,3,4,511,4,128,384,0,0,3,0,0,0,0,0,0,0,16,79,8,72,4,0,6,0,1.000
avl,vsscal_hdv,,2048,,,,PASSED,2037,.994,,2105,192,0,0,192,64,253,253,7,3,0,256,382,6,256,1759,0,0,0,1785,1530,1,2009,255,66,2,7,66,65,65,64,2366,66,128,7904,0,0,63,0,2,0,0,0,0,0,256,1634,128,1507,64,0,96,0,1.000
avl,vsscal_hdv,,256,,,,PASSED,250,.976,,318,24,0,0,24,8,29,29,7,3,0,32,46,6,32,196,0,0,0,166,135,1,222,31,10,2,7,8,7,7,8,635,8,128,896,0,0,7,0,0,0,0,0,0,0,32,183,16,168,8,0,12,0,1.000
